product_id,product_name,product_unit,product_price,supplier_id,category_id,supplier_name,supplier_contact,supplier_address,supplier_city,supplier_postal_code,supplier_country,supplier_phone,category_name,category_description,od_id,order_id,product_quantity,customer_id,employee_id,order_date,shipper_id,customer_name,customer_contact,customer_address,customer_city,customer_postal_code,customer_country,employee_last_name,employee_first_name,employee_birthdate,employee_photo,employee_notes,shipper_name,shipper_phone
73,"Rod Kaviar","24 - 150 g jars",15,17,8,"Svensk Sjofoda AB","Michael Bjorn","Brovallavagen 231",Stockholm,"S-123 45",Sweden,"08-123 45 67",Seafood,"Seaweed and fish",82,10278,25,5,8,1996-08-12,2,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8",Lulea,"S-958 22",Sweden,Callahan,Laura,1958-01-09,EmpID8.pic,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.","United Package","(503) 555-3199"
59,"Raclette Courdavault","5 kg pkg.",55,28,4,"Gai paturage","Eliane Noz","Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,"Dairy Products",Cheeses,80,10278,15,5,8,1996-08-12,2,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8",Lulea,"S-958 22",Sweden,Callahan,Laura,1958-01-09,EmpID8.pic,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.","United Package","(503) 555-3199"
63,Vegie-spread,"15 - 625 g jars",43.9,7,2,"Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343",Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",81,10278,8,5,8,1996-08-12,2,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8",Lulea,"S-958 22",Sweden,Callahan,Laura,1958-01-09,EmpID8.pic,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.","United Package","(503) 555-3199"
55,"Pate chinois","24 boxes x 2 pies",24,25,6,"Ma Maison","Jean-Guy Lauzon","2960 Rue St. Laurent",Montreal,"H1J 1C3",Canada,"(514) 555-9022",Meat/Poultry,"Prepared meats",85,10280,20,5,2,1996-08-14,1,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8",Lulea,"S-958 22",Sweden,Fuller,Andrew,1952-02-19,EmpID2.pic,"Andrew received his BTS commercial and a Ph.D. in international marketing from the University of Dallas. He is fluent in French and Italian and reads German. He joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales. Andrew is a member of the Sales Management Roundtable, the Seattle Chamber of Commerce, and the Pacific Rim Importers Association.","Speedy Express","(503) 555-9831"
44,"Gula Malacca","20 - 2 kg bags",19.45,20,2,"Leka Trading","Chandra Leka","471 Serangoon Loop, Suite #402",Singapore,0512,Singapore,555-8787,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",79,10278,16,5,8,1996-08-12,2,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8",Lulea,"S-958 22",Sweden,Callahan,Laura,1958-01-09,EmpID8.pic,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.","United Package","(503) 555-3199"
24,"Guarana Fantastica","12 - 355 ml cans",4.5,10,1,"Refrescos Americanas LTDA","Carlos Diaz","Av. das Americanas 12.890","Sao Paulo",5442,Brazil,"(11) 555 4640",Beverages,"Soft drinks, coffees, teas, beers, and ales",84,10280,12,5,2,1996-08-14,1,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8",Lulea,"S-958 22",Sweden,Fuller,Andrew,1952-02-19,EmpID2.pic,"Andrew received his BTS commercial and a Ph.D. in international marketing from the University of Dallas. He is fluent in French and Italian and reads German. He joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales. Andrew is a member of the Sales Management Roundtable, the Seattle Chamber of Commerce, and the Pacific Rim Importers Association.","Speedy Express","(503) 555-9831"
54,Tourtiere,"16 pies",7.45,25,6,"Ma Maison","Jean-Guy Lauzon","2960 Rue St. Laurent",Montreal,"H1J 1C3",Canada,"(514) 555-9022",Meat/Poultry,"Prepared meats",303,10360,28,7,4,1996-11-22,3,"Blondel pere et fils","Frederique Citeaux","24, place Kleber",Strasbourg,67000,France,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.","Federal Shipping","(503) 555-9931"
49,Maxilaku,"24 - 50 g pkgs.",20,23,3,"Karkki Oy","Anne Heikkonen","Valtakatu 12",Lappeenranta,53120,Finland,"(953) 10956",Confections,"Desserts, candies, and sweet breads",302,10360,35,7,4,1996-11-22,3,"Blondel pere et fils","Frederique Citeaux","24, place Kleber",Strasbourg,67000,France,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.","Federal Shipping","(503) 555-9931"
38,"Cote de Blaye","12 - 75 cl bottles",263.5,18,1,"Aux joyeux ecclesiastiques","Guylene Nodier","203, Rue des Francs-Bourgeois",Paris,75004,France,"(1) 03.83.00.68",Beverages,"Soft drinks, coffees, teas, beers, and ales",301,10360,10,7,4,1996-11-22,3,"Blondel pere et fils","Frederique Citeaux","24, place Kleber",Strasbourg,67000,France,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.","Federal Shipping","(503) 555-9931"
29,"Thuringer Rostbratwurst","50 bags x 30 sausgs.",123.79,12,6,"Plutzer Lebensmittelgrossmarkte AG","Martin Bein","Bogenallee 51",Frankfurt,60439,Germany,"(069) 992755",Meat/Poultry,"Prepared meats",300,10360,35,7,4,1996-11-22,3,"Blondel pere et fils","Frederique Citeaux","24, place Kleber",Strasbourg,67000,France,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.","Federal Shipping","(503) 555-9931"
28,"Rossle Sauerkraut","25 - 825 g cans",45.6,12,7,"Plutzer Lebensmittelgrossmarkte AG","Martin Bein","Bogenallee 51",Frankfurt,60439,Germany,"(069) 992755",Produce,"Dried fruit and bean curd",299,10360,30,7,4,1996-11-22,3,"Blondel pere et fils","Frederique Citeaux","24, place Kleber",Strasbourg,67000,France,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.","Federal Shipping","(503) 555-9931"
72,"Mozzarella di Giovanni","24 - 200 g pkgs.",34.8,14,4,"Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",Ravenna,48100,Italy,"(0544) 60323","Dairy Products",Cheeses,134,10297,20,7,5,1996-09-04,2,"Blondel pere et fils","Frederique Citeaux","24, place Kleber",Strasbourg,67000,France,Buchanan,Steven,1955-03-04,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French.","United Package","(503) 555-3199"
70,"Outback Lager","24 - 355 ml bottles",15,7,1,"Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343",Beverages,"Soft drinks, coffees, teas, beers, and ales",51,10265,20,7,2,1996-07-25,1,"Blondel pere et fils","Frederique Citeaux","24, place Kleber",Strasbourg,67000,France,Fuller,Andrew,1952-02-19,EmpID2.pic,"Andrew received his BTS commercial and a Ph.D. in international marketing from the University of Dallas. He is fluent in French and Italian and reads German. He joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales. Andrew is a member of the Sales Management Roundtable, the Seattle Chamber of Commerce, and the Pacific Rim Importers Association.","Speedy Express","(503) 555-9831"
39,"Chartreuse verte","750 cc per bottle",18,18,1,"Aux joyeux ecclesiastiques","Guylene Nodier","203, Rue des Francs-Bourgeois",Paris,75004,France,"(1) 03.83.00.68",Beverages,"Soft drinks, coffees, teas, beers, and ales",133,10297,60,7,5,1996-09-04,2,"Blondel pere et fils","Frederique Citeaux","24, place Kleber",Strasbourg,67000,France,Buchanan,Steven,1955-03-04,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French.","United Package","(503) 555-3199"
17,"Alice Mutton","20 - 1 kg tins",39,7,6,"Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343",Meat/Poultry,"Prepared meats",50,10265,30,7,2,1996-07-25,1,"Blondel pere et fils","Frederique Citeaux","24, place Kleber",Strasbourg,67000,France,Fuller,Andrew,1952-02-19,EmpID2.pic,"Andrew received his BTS commercial and a Ph.D. in international marketing from the University of Dallas. He is fluent in French and Italian and reads German. He joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales. Andrew is a member of the Sales Management Roundtable, the Seattle Chamber of Commerce, and the Pacific Rim Importers Association.","Speedy Express","(503) 555-9831"
75,"Rhonbrau Klosterbier","24 - 0.5 l bottles",7.75,12,1,"Plutzer Lebensmittelgrossmarkte AG","Martin Bein","Bogenallee 51",Frankfurt,60439,Germany,"(069) 992755",Beverages,"Soft drinks, coffees, teas, beers, and ales",209,10326,50,8,4,1996-10-10,2,"Bolido Comidas preparadas","Martin Sommer","C/ Araquil, 67",Madrid,28023,Spain,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.","United Package","(503) 555-3199"
57,"Ravioli Angelo","24 - 250 g pkgs.",19.5,26,5,"Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153",Salerno,84100,Italy,"(089) 6547665",Grains/Cereals,"Breads, crackers, pasta, and cereal",208,10326,16,8,4,1996-10-10,2,"Bolido Comidas preparadas","Martin Sommer","C/ Araquil, 67",Madrid,28023,Spain,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.","United Package","(503) 555-3199"
4,"Chef Antons Cajun Seasoning","48 - 6 oz jars",22,2,2,"New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans",70117,USA,"(100) 555-4822",Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",207,10326,24,8,4,1996-10-10,2,"Bolido Comidas preparadas","Martin Sommer","C/ Araquil, 67",Madrid,28023,Spain,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.","United Package","(503) 555-3199"
54,Tourtiere,"16 pies",7.45,25,6,"Ma Maison","Jean-Guy Lauzon","2960 Rue St. Laurent",Montreal,"H1J 1C3",Canada,"(514) 555-9022",Meat/Poultry,"Prepared meats",308,10362,24,9,3,1996-11-25,1,"Bon app","Laurence Lebihans","12, rue des Bouchers",Marseille,13008,France,Leverling,Janet,1963-08-30,EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.","Speedy Express","(503) 555-9831"
54,Tourtiere,"16 pies",7.45,25,6,"Ma Maison","Jean-Guy Lauzon","2960 Rue St. Laurent",Montreal,"H1J 1C3",Canada,"(514) 555-9022",Meat/Poultry,"Prepared meats",223,10331,15,9,9,1996-10-16,1,"Bon app","Laurence Lebihans","12, rue des Bouchers",Marseille,13008,France,Dodsworth,Anne,1969-07-02,EmpID9.pic,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German.","Speedy Express","(503) 555-9831"
51,"Manjimup Dried Apples","50 - 300 g pkgs.",53,24,7,"Gday, Mate","Wendy Mackenzie","170 Prince Edward Parade Hunters Hill",Sydney,2042,Australia,"(02) 555-5914",Produce,"Dried fruit and bean curd",307,10362,20,9,3,1996-11-25,1,"Bon app","Laurence Lebihans","12, rue des Bouchers",Marseille,13008,France,Leverling,Janet,1963-08-30,EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.","Speedy Express","(503) 555-9831"
43,"Ipoh Coffee","16 - 500 g tins",46,20,1,"Leka Trading","Chandra Leka","471 Serangoon Loop, Suite #402",Singapore,0512,Singapore,555-8787,Beverages,"Soft drinks, coffees, teas, beers, and ales",249,10340,40,9,1,1996-10-29,3,"Bon app","Laurence Lebihans","12, rue des Bouchers",Marseille,13008,France,Davolio,Nancy,1968-12-08,EmpID1.pic,"Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of 'Toastmasters International'.","Federal Shipping","(503) 555-9931"
41,"Jacks New England Clam Chowder","12 - 12 oz cans",9.65,19,8,"New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.",Boston,02134,USA,"(617) 555-3267",Seafood,"Seaweed and fish",248,10340,12,9,1,1996-10-29,3,"Bon app","Laurence Lebihans","12, rue des Bouchers",Marseille,13008,France,Davolio,Nancy,1968-12-08,EmpID1.pic,"Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of 'Toastmasters International'.","Federal Shipping","(503) 555-9931"
25,"NuNuCa Nuss-Nougat-Creme","20 - 450 g glasses",14,11,3,"Heli Susswaren GmbH and Co. KG","Petra Winkler","Tiergartenstrasse 5",Berlin,10785,Germany,"(010) 9984510",Confections,"Desserts, candies, and sweet breads",306,10362,50,9,3,1996-11-25,1,"Bon app","Laurence Lebihans","12, rue des Bouchers",Marseille,13008,France,Leverling,Janet,1963-08-30,EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.","Speedy Express","(503) 555-9831"
18,"Carnarvon Tigers","16 kg pkg.",62.5,7,8,"Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343",Seafood,"Seaweed and fish",247,10340,20,9,1,1996-10-29,3,"Bon app","Laurence Lebihans","12, rue des Bouchers",Marseille,13008,France,Davolio,Nancy,1968-12-08,EmpID1.pic,"Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of 'Toastmasters International'.","Federal Shipping","(503) 555-9931"
17,"Alice Mutton","20 - 1 kg tins",39,7,6,"Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343",Meat/Poultry,"Prepared meats",486,10431,50,10,4,1997-01-30,2,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.",Tsawassen,"T2F 8M4",Canada,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.","United Package","(503) 555-3199"
70,"Outback Lager","24 - 355 ml bottles",15,7,1,"Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343",Beverages,"Soft drinks, coffees, teas, beers, and ales",378,10389,30,10,4,1996-12-20,2,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.",Tsawassen,"T2F 8M4",Canada,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.","United Package","(503) 555-3199"
62,"Tarte au sucre","48 pies",49.3,29,3,"Forets derables","Chantal Goulet","148 rue Chasseur",Ste-Hyacinthe,"J2S 7S8",Canada,"(514) 555-2955",Confections,"Desserts, candies, and sweet breads",377,10389,20,10,4,1996-12-20,2,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.",Tsawassen,"T2F 8M4",Canada,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.","United Package","(503) 555-3199"
55,"Pate chinois","24 boxes x 2 pies",24,25,6,"Ma Maison","Jean-Guy Lauzon","2960 Rue St. Laurent",Montreal,"H1J 1C3",Canada,"(514) 555-9022",Meat/Poultry,"Prepared meats",376,10389,15,10,4,1996-12-20,2,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.",Tsawassen,"T2F 8M4",Canada,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.","United Package","(503) 555-3199"
10,Ikura,"12 - 200 ml jars",31,4,8,"Tokyo Traders","Yoshi Nagase","9-8 Sekimai Musashino-shi",Tokyo,100,Japan,"(03) 3555-5011",Seafood,"Seaweed and fish",375,10389,16,10,4,1996-12-20,2,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.",Tsawassen,"T2F 8M4",Canada,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.","United Package","(503) 555-3199"
64,"Wimmers gute Semmelknodel","20 bags x 4 pieces",33.25,12,5,"Plutzer Lebensmittelgrossmarkte AG","Martin Bein","Bogenallee 51",Frankfurt,60439,Germany,"(069) 992755",Grains/Cereals,"Breads, crackers, pasta, and cereal",111,10289,9,11,7,1996-08-26,3,"Bs Beverages","Victoria Ashworth","Fauntleroy Circus",London,"EC2 5NT",UK,King,Robert,1960-05-29,EmpID7.pic,"Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan and then joining the company. After completing a course entitled 'Selling in Europe', he was transferred to the London office.","Federal Shipping","(503) 555-9931"
3,"Aniseed Syrup","12 - 550 ml bottles",10,1,2,"Exotic Liquid","Charlotte Cooper","49 Gilbert St.",Londona,"EC1 4SD",UK,"(171) 555-2222",Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",110,10289,30,11,7,1996-08-26,3,"Bs Beverages","Victoria Ashworth","Fauntleroy Circus",London,"EC2 5NT",UK,King,Robert,1960-05-29,EmpID7.pic,"Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan and then joining the company. After completing a course entitled 'Selling in Europe', he was transferred to the London office.","Federal Shipping","(503) 555-9931"
37,"Gravad lax","12 - 500 g pkgs.",26,17,8,"Svensk Sjofoda AB","Michael Bjorn","Brovallavagen 231",Stockholm,"S-123 45",Sweden,"08-123 45 67",Seafood,"Seaweed and fish",34,10259,1,13,4,1996-07-18,3,"Centro comercial Moctezuma","Francisco Chang","Sierras de Granada 9993","Mexico D.F.",05022,Mexico,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.","Federal Shipping","(503) 555-9931"
21,"Sir Rodneys Scones","24 pkgs. x 4 pieces",10,8,3,"Specialty Biscuits, Ltd.","Peter Wilson","29 Kings Way",Manchester,"M14 GSD",UK,"(161) 555-4448",Confections,"Desserts, candies, and sweet breads",33,10259,10,13,4,1996-07-18,3,"Centro comercial Moctezuma","Francisco Chang","Sierras de Granada 9993","Mexico D.F.",05022,Mexico,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.","Federal Shipping","(503) 555-9931"
74,"Longlife Tofu","5 kg pkg.",10,4,7,"Tokyo Traders","Yoshi Nagase","9-8 Sekimai Musashino-shi",Tokyo,100,Japan,"(03) 3555-5011",Produce,"Dried fruit and bean curd",329,10370,20,14,6,1996-12-03,2,"Chop-suey Chinese","Yang Wang","Hauptstr. 29",Bern,3012,Switzerland,Suyama,Michael,1963-07-02,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.","United Package","(503) 555-3199"
